00000A00	Silverd
414B0F00	Khalid's Poster
414C0F00	Reventine Winery
414D0F00	Ascent II
414E0F00	Hidden Space - 0085
414F0F00	Food Supply Contract - Hernand
41500F00	Fusion Reactor Core: XI-IV
41510F00	Icicle Edge Alpine Ibex Horn
41650000	Antler Tea
416D0400	Shield of a Blossoming Spring Day
41730000	Giant Pond Loach
41842000	Dumenis Plate Boots
418C2000	Helms Leather Armor
41B20100	Solas Plate Armor
41BC0100	Bettert Leather Armor
41CB0000	Small Hellhounds Banner Pike
41E10100	Astia Cloth Gloves
42380000	Red Rider's Plate Helm
42420F00	Stamina Amplification
42422000	Direnya Cloth Armor
42430F00	Anti-Caliburn Signboard
42440F00	Ruby-Set Golden Dagger
42450F00	Delesyian Contribution Banner Pike
42460F00	Bounty Notice - Bo
42470F00	Wybert's Cloth Helm
42480F00	Sturdy Wooden Beer Mug
42490F00	Water Strider
424A0F00	Seafood Stew
424B0F00	Travel Flask
424C0F00	Hayroof Farm Windmill
424D0F00	Ascent III
424E0F00	Hidden Space - 0086
424F0F00	Food Supply Contract - Calphade
42500F00	Fusion Reactor Core: XII-IV
42510F00	Rock Tusk Warthog Molar
42650000	Fruit Juice
426D0400	Demenissian Shield of Valor
42730000	Sailfish
428C0B00	Shrubby Sophora
428C2000	Helms Plate Gloves
42B20100	Beverly Plate Armor
42BC0100	Schlitz Leather Armor
43380000	Demenissian Guard's Plate Helm
43420F00	Increased Attack Speed
43422000	Tytuan Cloth Armor
43430F00	Vaporwalker
43440F00	Bekker Hammer
43450F00	Pirate King Hat
43460F00	Golden Kerria Shield
43470F00	Fritz's Cloth Helm
43480F00	Worn Wooden Beer Mug
43490F00	News of Skull Knight's Demise
434A0F00	Fishball Soup
434B0F00	Thomas's Poster
434C0F00	Horseshoe Lake Burrow
434D0F00	Power Core - Ore of Resipiscence
434E0F00	Hidden Space - 0087
434F0F00	Food Supply Contract - Kharonso
43500F00	Fusion Reactor Core: XIII-IV
43510F00	Sigil of Solidarity (White Bear)
436D0400	Demenissian Shield of Loyalty
43730000	Golden Tench
438C0B00	False Starwort
438C2000	Helms Leather Boots
43BC0100	Binden Leather Armor
43E10100	Aldwin Leather Gloves
44080200	Diencia Cloth Boots
44380000	Demenissian Guard's Plate Helm
44420F00	Increased Movement Speed
44422000	Tegatel Cloth Armor
44430F00	Specter Sword
44440F00	Skyroot Seed
44450F00	Crashed Cloudcart
44460F00	Bounty Notice - Ursula
44470F00	Morrow's Leather Armor
44480F00	Old Wooden Beer Mug
44490F00	News of the Sandfang Marauders' Defeat
444A0F00	Harvest Roll
444B0F00	Nix's Poster
444C0F00	Cabin by the Waterfall
444D0F00	Power Core - Casket of Illusions
444E0F00	Hidden Space - 0088
444F0F00	Food Supply Contract - Demeniss
44500F00	Fusion Reactor Core: XIV-IV
44510F00	Sigil of Solidarity (Silver Fang)
446D0400	Demenissian Shield of Obedience
44730000	Coelacanth
448C0B00	Satintail Root
448C2000	Helms Leather Boots
44BC0100	Auld Leather Armor
45380000	Crimson Chaser Plate Helm
45420F00	Counterweight Leather Gloves
45422000	Tikatan Cloth Armor
45430F00	A.T.A.G. Plating Mk I
45440F00	Purple Flower-Shaped Cactus Pot
45450F00	Wagon Barding II
45460F00	Bounty Notice - Helia
45470F00	Laurent's Leather Armor
45480F00	Decorative Silver Mug
45490F00	News of Skevald the Carrion King's Defeat
454A0F00	Vegetable Rice Cake
454B0F00	Bea's Poster
454C0F00	Restricted Area
454D0F00	Power Core - Crown of Shadows
454E0F00	Hidden Space - 0089
454F0F00	Food Supply Contract - Delesyia
45500F00	Fusion Reactor Core: XXI-I
45510F00	Sigil of Solidarity (Snowwhite Deer)
45730000	Golden Carp
45BC0100	Mavin Leather Armor
45E10100	Latian Leather Gloves
46121700	Sahareum Champron
46380000	Descao Plate Helm
46420F00	Cat Plate Helm
46422000	Qaturan Cloth Armor
46430F00	Outlaw's Gold Ore Pack
46440F00	Razor Clam
46450F00	Constellation Research Journal
46460F00	Bounty Notice - Elara
46470F00	Brant's Leather Armor
46480F00	Decorative Brass Goblet
46490F00	News of the Black Fang's Defeat
464A0F00	Grain Soup
464B0F00	Omar's Poster
464C0F00	Piece from Lioncrest Watchtower
464D0F00	Vitality I
464E0F00	Hidden Space - 0090
464F0F00	Food Supply Contract - Pailune
46500F00	Fusion Reactor Core: XXII-I
46510F00	Sigil of Solidarity (Icicle Edge Alpine Ibex)
46750000	Lubricant
468C2000	Helms Rhinoceros Beetle Helm
46BB0100	Militia Cloth Armor
47121700	Berkei Champron
47195617	Oath of Darkness
47380000	Demenissian Guard's Plate Helm
47420F00	Desert Marauder's Plate Helm
47422000	Nantuka Cloth Armor
47430F00	Straw Bale Helm
47440F00	City Guard's Shield
47450F00	Recipe: Pan-Fried Vegetables
47460F00	Bounty Notice - Sigor
47470F00	Joseph's Leather Armor
47480F00	Large Decorative Goblet
47490F00	Camp Timber
474A0F00	Chewy Rice Cakes
474B0F00	Kuku Robot Special Blueprint
474C0F00	Sealed Letter
474D0F00	Vitality II
474E0F00	Hidden Space - 0091
474F0F00	Food Supply Contract - Tommaso
47500F00	Fusion Reactor Core: XXIII-I
47510F00	Sigil of Solidarity (Rock Tusk Warthog)
47730000	Anglerfish
478C2000	Helms Stag Beetle Helm
47BB0100	Pyrantha Cloth Armor
47BC0100	Raspin Leather Armor
47BF0100	Baratum Cloth Armor
48080200	Pavis Leather Boots
48121700	Delesyian Champron
48195617	Mark of Darkness
48420F00	Autumn Banquet Leather Armor
48422000	Entuka Cloth Armor
48430F00	Goblin Pumpkin Helm
48440F00	Fundamentalist Officer Cloth Boots
48450F00	Ulzok's Hideout
48460F00	Bounty Notice - Duran
48470F00	Gilbert's Leather Armor
48480F00	Worn Decorative Silver Mug
48490F00	Gerald's Leather Armor
484A0F00	Assorted Meat and Fish Skewers
484B0F00	Adventurer's Cooking Inventory Type E
484C0F00	Gear Blueprint: Steelbane
484D0F00	Vitality III
484E0F00	Hidden Space - 0092
484F0F00	Food Supply Contract - Varnia
48500F00	Fusion Reactor Core: XXIV-I
485F0300	Aeserion Mace
488C2000	Dutian Chain Mail
48BB0100	Torress Cloth Armor
48BC0100	Duvelle Leather Armor
48BF0100	Baritum Cloth Armor
49080200	Trowder Leather Boots
49121700	Exclaire Champron
49195617	Relic of Darkness
49420F00	Leather Armor of Earth's Honor
49430F00	Harpy Feather
49440F00	Kairos Plate Helm
49450F00	Captive's Cloth Armor
49460F00	Bounty Notice - Borzak
49470F00	Max's Leather Armor
49480F00	Large Multipurpose Vessel
49490F00	Camp Stone
494A0F00	Grilled Meat Steak
494B0F00	Unidentified Corpse
494C0F00	Wind Slash
494D0F00	Power Core - Spire of Defiance
494E0F00	Hidden Space - 0093
494F0F00	Medium Dusksongs Banner Pike
49500F00	Fusion Reactor Core: XXI-III
49730000	Electric Eel
498C2000	Darren Cloth Armor
49BB0100	Arandhal Cloth Armor
49BC0100	Karius Leather Armor
49BF0100	Baras Cloth Armor
49E10100	Vicaron Leather Gloves
4A121700	Hernandian Champron
4A3E2000	Riclia Leather Armor
4A420F00	Official Knight's Leather Gloves
4A430F00	Ancient Shield
4A440F00	Shiny Rock
4A450F00	Captive's Cloth Armor
4A460F00	Bounty Notice - Giovanni
4A470F00	Silvan's Leather Armor
4A480F00	Fine Gold Goblet
4A490F00	Camp Weapons
4A4A0F00	Meatball Soup
4A4A3C73	Inquisitor's Plate Helm
4A4B0F00	Birch Forest Grave
4A4C0F00	Gear Blueprint: Hexebane
4A4D0F00	Power Core - Verse of Sowing
4A4E0F00	Hidden Space - 0094
4A4F0F00	Medium Faceless Banner Pike
4A500F00	Fusion Reactor Core: XXII-III
4A70AC5F	Levin Plate Armor
4A8C2000	Cherlay Leather Gloves
4ABC0100	Slouwen Leather Armor
4B121700	Varnian Champron
4B195617	Karanda's Necklace
4B380000	Helms Beetle Helm
4B3E2000	Wandering Freesword's Leather Armor
4B420F00	Autumn Banquet Leather Boots
4B430F00	LightSaber TwoHandSword
4B440F00	Recipe: Chewy Rice Cakes
4B450F00	Captive's Cloth Armor
4B460F00	Bounty Notice - Morga
4B470F00	Mysterious Pot Crafting Contract
4B480F00	Artisan's Metal Goblet
4B490F00	Warning of Judgment
4B4A0F00	Mixed Skewers
4B4B0F00	Treetop Wagon
4B4C0F00	Gear Blueprint: Bloodbane
4B4D0F00	Core of Penitence
4B4E0F00	Hidden Space - 0095
4B4F0F00	Medium Ironflame Orcs Banner Pike
4B500F00	Fusion Reactor Core: XXIII-III
4B510F00	Varnia Refinement Token
4B8C2000	Gardeiff Cloth Armor
4BBB0100	Toudon Cloth Armor
4BBC0100	Bleawin Leather Armor
4BBF0100	Baraccuro Cloth Armor
4BE10100	Leppo Leather Gloves
4C080200	Pieti Leather Boots
4C121700	Demenissian Champron
4C195617	Witch's Earring
4C380000	Helms Hornet Helm
4C3E2000	Leopard Print Leather Armor
4C420F00	Official Knight's Leather Boots
4C430F00	Bedure Chain Cloak
4C440F00	Kairos Plate Armor
4C450F00	Captive's Cloth Armor
4C460F00	Bounty Notice - Lilith
4C470F00	Firefly
4C480F00	Ornate Gold Goblet
4C490F00	Tommasoan Contribution Banner Pike
4C4A0F00	Harvest Soup
4C4B0F00	Abandoned House
4C4C0F00	Bountiful Harvest
4C4D0F00	Core of Renunciation
4C4E0F00	Hidden Space - 0096
4C4F0F00	Medium Greymane Banner Pike
4C500F00	Fusion Reactor Core: XXIV-III
4C510F00	Medium Bag
4C8C2000	Cherlay Leather Boots
4CAC2700	Light of the Battlefield Plate Armor
4CBB0100	Cherke Leather Armor
4CBC2C16	Crail Plate Armor
4CE10100	Brogant Leather Gloves
4D080200	Norman Leather Boots
4D195617	Seal of Pitch-Black Darkness
4D360000	Frostbone Shield
4D362000	Luon Plate Armor
4D380000	Helms Bull Helm
4D3E2000	Horizon Leather Armor
4D420F00	Official Knight's Plate Armor
4D430F00	Dev Speed Ring
4D440F00	Bounty Notice - Brooks
4D450F00	Captive's Cloth Armor
4D460F00	Bounty Notice - Zelia
4D470F00	Golden Coelacanth
4D480F00	Plain Wooden Beer Mug
4D490F00	Bomb
4D4A0F00	Pan-Fried Rice Cakes
4D4B0F00	A Strange Skull
4D4C0F00	Brookfield Manor
4D4D0F00	Core of Expiation
4D4E0F00	Hidden Space - 0097
4D4F0F00	Medium Hellhounds Banner Pike
4D500F00	Fusion Reactor Core: XXI-IV
4D510F00	Large Bag
4D8C2000	Gaph Cloth Armor
4DBB0100	Blin Leather Armor
4DBC0100	Trellian Leather Armor
4E3E2000	Pirin Leather Armor
4E420F00	Cat Plate Armor
4E430F00	Blackwing Leather Cloak
4E440F00	Bounty Notice - Obyss
4E450F00	Captive's Cloth Armor
4E460F00	Bounty Notice - Talgrim
4E470F00	Mining Knuckledrill
4E480F00	Sealed Abyss Artifact
4E490F00	Duane's Leather Armor
4E4A0F00	Meat Stew
4E4B0F00	A Suspicious Sculptor
4E4C0F00	Gear Blueprint: Primalbane
4E4D0F00	Core of Oblation
4E4E0F00	Hidden Space - 0098
4E4F0F00	Medium Hernandian Banner Pike
4E500F00	Fusion Reactor Core: XXII-IV
4E510F00	Extra Large Bag
4E8C2000	Wendahl Leather Shoes
4E960100	Bollin Cloth Cap
4EBC0100	Sunset Reed Leather Armor
4F080200	Driseld Leather Boots
4F362000	Lukatz Plate Armor
4F380000	Blackwing Mask
4F420F00	Grilled Meat Patties
4F430F00	Memory of the Kidnapped Witch
4F440F00	Recipe: Assorted Meat and Fish Skewers
4F450F00	Captive's Cloth Armor
4F460F00	Sior Blaster
4F470F00	Wolf's Fang
4F480F00	Bread Plate
4F490F00	Shane's Leather Armor
4F4A0F00	Abyss Cell
4F4B0F00	H.A.L.L.
4F4C0F00	Lioncrest Manor
4F4D0F00	Core of Mortification
4F4E0F00	Hidden Space - 0099
4F4F0F00	Medium Marni Banner Pike
4F500F00	Fusion Reactor Core: XXIII-IV
4F8C2000	Wendahl Leather Gloves
4F960100	Radein Cloth Cap
4FE10100	Delise Leather Gloves
50195617	Ancient Earring
50362000	Luca Plate Armor
50380000	Frostcursed Plate Helm
50420F00	Hernand Contribution Shop Flyer
50430F00	Hernandian Honor Guard Cloak
50440F00	Kuku Gardening Pack
50450F00	Captive's Cloth Armor
50460F00	Bounty Notice - Torfinn
50470F00	Pillager's Leather Boots
50480F00	Deep Bowl
50490F00	Seafood Soup
504A0F00	Mixed Harvest Bowl
504B0F00	Upper Nas River Dam
504C0F00	Produce Order Form
504D0F00	Core of Faith
504E0F00	Hidden Space - 0100
504F0F00	Medium Musket of Demeniss Banner Pike
50500F00	Fusion Reactor Core: XXIV-IV
50BF0100	Barrow Cloth Armor
50E10100	Boggen Leather Gloves
51080200	Dutrat Leather Boots
51195617	Ancient Ring
51362000	Garten Plate Armor
51380000	Carta Plate Helm
51420F00	Crude Itano Cannonball
51430F00	Dark Ringleader's Cloth Cloak
51440F00	Oongka's Arms Aging Appearance Change Coupon
51450F00	Captive's Cloth Armor
51460F00	Bounty Notice - Sigrid
51470F00	Red Spice Bowl
51480F00	Storage Bowl
51490F00	Evelyn's Leather Boots
514A0F00	Battered Harvest Roll
514B0F00	Hernand Gallows
514C0F00	Clue from Duskwood
514D0F00	Core of Benediction
514E0F00	Hidden Space - 0101
514F0F00	Medium Pailunese Banner Pike
51500F00	Fusion Reactor Core: III-I
518C2000	Melina Cloth Armor
51A50500	Pailunese Shotgun
51BF0100	Bailao Cloth Armor
52080200	Reus Leather Boots
52195617	Ancient's Necklace
52362000	Half Moon Reaper Plate Armor
52420F00	Crude Bismuth Cannonball
52430F00	Riding Cloak
52440F00	Accessories of the World, Vol. I
52450F00	Captive's Cloth Armor
52460F00	Bounty Notice - Throk
52470F00	Chameleon
52480F00	Wide Bowl
52490F00	Hartmann Plate Helm
524A0F00	Mixed Stew
524B0F00	Bruna's Note
524C0F00	Storm Fang
524D0F00	Core of Absolution
524E0F00	Hidden Space - 0102
524F0F00	Medium Vellua Pirate Banner Pike
52500F00	Fusion Reactor Core: III-II
528C2000	Moshane Chain Mail
52A50500	Dewhaven Shotgun
52B20100	Lemerick Chain Mail
52BC0100	Nameless Sage's Leather Armor
52BF0100	Barclao Cloth Armor
53080200	Lascaux Leather Boots
53340300	Bekker Axe
53362000	Strell Plate Armor
53420F00	TestTwoHandAxe
53430F00	Tariv Cloth Cloak
53440F00	Equestrian III
53450F00	Captive's Cloth Boots
53460F00	Bounty Notice - Rolf
53470F00	Kuku Breeze-Step Boots
53480F00	Nut Bowl
53490F00	Steamed Seafood
534A0F00	Pan-Fried Marinated Fish
534B0F00	The Madman and the Crows
534C0F00	Gear Blueprint: Malicebane
534D0F00	Core of Solace
534E0F00	Hidden Space - 0103
534F0F00	Medium Heavy Silence Banner Pike
53500F00	Fusion Reactor Core: III-III
538C2000	Kriella Cloth Armor
53A2C27B	Katunan Chain Mail
53A50500	Mortimer Shotgun
53AC2700	White Bloodwind Plate Helm
53B20100	Lauer Chain Mail
53C30000	Poison Arrow
53E10100	Delinell's Leather Gloves
54080200	Mistum Leather Boots
54362000	Riverdine Chain Mail
543D0000	Aeserion Spear
543E2000	Dellovian Leather Armor
54420F00	Swallowtail
54430F00	Skyblazer Cloth Cloak
54440F00	Humpback Whale Glass Art
54450F00	Captive's Cloth Headband
54460F00	Bounty Notice - Wolfe
54470F00	Strongbow Gloves
54480F00	Grain Bowl
54490F00	Wells Military Saddle
544A0F00	Fish Stew
544B0F00	Boulder Crash Site
544C0F00	Wound of Darkness
544D0F00	Core of Revelation
544E0F00	Hidden Space - 0104
544F0F00	Medium Blinding Arrows Banner Pike
54500F00	Fusion Reactor Core: III-IV
54810B00	Poison
54A50500	Metilbahm Shotgun
54B20100	Senon Plate Armor
54BC0100	Ludynn Leather Armor
54BF0100	Barch Cloth Armor
54E10100	Wertesh Leather Gloves
55080200	Sillau Leather Boots
550D0300	Glenmore Sword
55362000	Triali Plate Armor
553D0000	Reckoning
55420F00	St. Halssius Priest Attire
55430F00	Pailunese Cloak
55440F00	Accessories of the World, Vol. II
55450F00	Captive's Cloth Helm
55460F00	Bounty Notice - Aera
55470F00	MastKey Gloves
55480F00	Demeniss Elite Uniform Leather Boots
55490F00	Sealed Abyss Artifact
554A0F00	Assorted Braised Fish
554B0F00	Abandoned House on the Water
554C0F00	Bea's Note
554D0F00	Surge I
554E0F00	Hidden Space - 0105
554F0F00	Medium Halberd of Carnage's Banner Pike
55500F00	Fusion Reactor Core: XXXI-II
558C2000	Kriella Cloth Gloves
55A50500	Delesyian Shotgun
55B20100	Leighbog Plate Armor
55BC0100	Reak Leather Armor
55CE0500	Small Demenissian Banner Pike
55E10100	Keimbel Leather Gloves
56080200	Fiatol Leather Boots
56240000	Tariv Cloth Gloves
56362000	Princeps Plate Armor
563D0000	Grasping Moon
56420F00	Diver's Machine Knuckledrill
56430F00	Delesyian Cloth Cloak
56440F00	Spear Manual of House Alfonso, Vol. 1
56450F00	Captive's Cloth Helm
56460F00	Bounty Notice - Kronk
56470F00	Informant's Second Letter
56480F00	Cheese Plate
56490F00	Mild Herbal Tea
564A0F00	Pan-Fried Vegetables
564B0F00	Dyer on the Water
564C0F00	Piece from Duskwood
564D0F00	Surge II
564E0F00	Hidden Space - 0106
564F0F00	Medium Tommaso Banner Pike
56500F00	Fusion Reactor Core: XXXII-II
56810B00	Spider Web
568C2000	Danda Chain Mail
56A50500	Bleed Shotgun
56B20100	Galbon Chain Mail
56BC0100	Marc Leather Armor
56E10100	Sladen Leather Gloves
57362000	Juden Cloth Armor
573D0000	Frostfang
57420F00	[QA] Profiling (Hernand-Pailune 2.5)
57430F00	The Masked Liberator's Cloth Cloak
57440F00	Accessories of the World, Vol. III
57450F00	Captive's Cloth Helm
57460F00	Bounty Notice - Ivar
57470F00	Informant's Third Letter
57480F00	Demenissian Uniform Leather Armor
57490F00	Crow Bomb
574A0F00	Grand Meal
574B0F00	Sky Galleon
574C0F00	Karmic Pulse
574D0F00	Surge III
574E0F00	Hidden Space - 0107
574F0F00	Medium Twilight Messengers Banner Pike
57500F00	Fusion Reactor Core: XXXIII-II
578C2000	Danda Cloth Cap
57A50500	Dane Shotgun
57B20100	Brina Plate Armor
57BB0100	Dunqane Leather Armor
57BC0100	Smilodon Leather Armor
580D0300	Sydmon Sword
58362000	Alphen Cloth Armor
583D0000	Spear of the Fleeting
58420F00	Staglord Acolyte's Leather Armor
58430F00	Lunar Reapers' Plate Gloves
58440F00	Accessories of the World, Vol. IV
58450F00	Captive's Cloth Helm
58460F00	Bounty Notice - Snaggle
58470F00	Circus Invitation
58480F00	Demenissian Uniform Leather Cloak
58490F00	Greymane Necklace
584A0F00	Extravagant Meal
584B0F00	Communal Ritual
584C0F00	Note from the Street Shop
584D0F00	Letter from Grimnir
584E0F00	Hidden Space - 0108
584F0F00	Medium Varnian Banner Pike
58500F00	Fusion Reactor Core: XXXIV-II
58860300	Aeserion Dagger
588C2000	Danda Leather Gloves
58BB0100	Elliot Leather Armor
58BC0100	Noyvarn Leather Armor
58CE0500	Small Royal Hunting Ground Banner Pike
58E10100	Persein Leather Gloves
590E1700	Hyperion Barding
59340300	Lanford Axe
59420F00	Ornythion Swallowtail Butterfly
59430F00	Adventurer's Cooking Inventory Type C
59440F00	Spear Manual of House Alfonso, Vol. 2
59450F00	Leather Half-Gloves
59460F00	Bounty Notice - Sienna
59470F00	Shotgun Shield
59480F00	Small Mortar Bowl
59490F00	Hearty Grilled Bird Meat
594A0F00	Lavish Meal
594B0F00	Bell of Delesyia
594C0F00	Omar's Note
594D0F00	Greysoul Howling
594E0F00	Hidden Space - 0109
594F0F00	Medium Wells Banner Pike
59500F00	Fusion Reactor Core: XXXI-IV
59750000	Key
598C2000	Rapid Leather Armor
59B20100	Prix Plate Armor
59BB0100	Cuthbertson Leather Armor
59BF0100	Bedure Chain Mail
5A080200	Aurelian Leather Boots
5A362000	Baldrin Cloth Armor
5A3D0000	Diverging Moon
5A420F00	Bundle of Bullets
5A430F00	Unicorn Glass Art
5A440F00	Brimstone
5A450F00	Darren Leather Gloves
5A460F00	Bounty Notice - Caesar
5A470F00	Pierce's Leather Armor
5A480F00	Herb Mortar Bowl
5A490F00	Small Halberd of Carnage's Banner Pike
5A4A0F00	Fine Meal
5A4B0F00	Mental Reconditioning
5A4C0F00	Clue from St. Halssius
5A4D0F00	Blazing Shield
5A4E0F00	Hidden Space - 0110
5A4F0F00	Medium Wyvernflames Banner Pike
5A500F00	Fusion Reactor Core: XXXII-IV
5A8C2000	Cherlay Leather Armor
5AB20100	Serroa Plate Armor
5ABB0100	Buchanan Cloth Armor
5ACE0500	Small Black Bears Banner Pike
5B340300	Lambert Axe
5B3D0000	Circling Moon
5B420F00	Kite Shield
5B440F00	Spear Manual of House Alfonso, Vol. 3
5B450F00	Small Vellua Pirates Banner Pike
5B460F00	Bounty Notice - Barrick
5B470F00	Palmar Beetle
5B480F00	Damaged Bowl
5B490F00	Perwin Explosive
5B4A0F00	Special Meal
5B4B0F00	Vat'nholl Camp
5B4C0F00	Bleed Officer's Leather Gloves
5B4D0F00	Frost Spike
5B4E0F00	Hidden Space - 0111
5B4F0F00	Medium Flame Knights Banner Pike
5B500F00	Fusion Reactor Core: XXXIII-IV
5B8C2000	Darren Chain Mail
5BBB0100	Finneron Leather Armor
5BBF0100	Riksha Chain Mail
5BC01100	Noble's Hat
5BC30000	Whistling Arrow
5BE10100	Mechlin Leather Gloves
5C250100	Greymane's Token
5C420F00	Freya's Lesser Elixir
5C440F00	Countess Azerian's Letter
5C450F00	Bow of the Fleeting
5C460F00	Bounty Notice - Sigrun
5C470F00	Silver Grey Dye
5C480F00	Iron Bowl
5C490F00	Small Pailunese Banner Pike
5C4A0F00	Meal
5C4B0F00	Five-Finger Mountain
5C4C0F00	Piece from St. Halssius
5C4D0F00	Black Oath Shield
5C4E0F00	Hidden Space - 0112
5C4F0F00	Simple Poster
5C500F00	Fusion Reactor Core: XXXIV-IV
5C8C2000	Dwelle Leather Boots
5C960100	Rueconec Cloth Cap
5CB20100	Dutiron Plate Armor
5CBB0100	Torrance Leather Armor
5CBF0100	Lathia Cloth Armor
5CE10100	Essembel Leather Gloves
5D080200	Eshian Leather Boots
5D340300	Gilliam Axe
5D420F00	Hearty Toasted Grains
5D430F00	Northern Fighter's Chain Cloak
5D440F00	Stalactite
5D450F00	Tiger Mimic Queen Butterfly
5D460F00	Bounty Notice - Tarik
5D470F00	Engraved Stone
5D480F00	Golden Bowl
5D490F00	Small Wyvernflames Banner Pike
5D4A0F00	Unidentified Abyss Gear
5D4B0F00	The Sword's Grave and Throne
5D4C0F00	Varnia Entrance Note
5D4D0F00	Shattering Frost
5D4E0F00	Hidden Space - 0113
5D4F0F00	Simple Poster
5D500F00	Fusion Reactor Core: XXXI-VI
5D8C2000	Leila Cloth Cap
5D920100	Nevin Cloth Bandana
5DB20100	Dutinion Plate Armor
5DE10100	Contra Leather Gloves
5E020B00	Epidote
5E0E1700	Sahareum Barding
5E420F00	Apollonia's Lesser Elixir
5E430F00	Dragon Flame Cloak
5E440F00	Posters
5E450F00	Delesyia Prison Key
5E460F00	Bounty Notice - Zahir
5E470F00	Engraved Stone
5E480F00	Cucumber
5E490F00	Small Tommaso Banner Pike
5E4A0F00	Hagmund Barding
5E4B0F00	Remains of the Giants
5E4C0F00	Stonemire Ruins Record No. 3
5E4D0F00	Odeck Hardwood Shield
5E4E0F00	Hidden Space - 0114
5E4F0F00	Simple Poster
5E500F00	Fusion Reactor Core: XXXII-VI
5E8C2000	Dwelle Leather Gloves
5E960100	Agatha Cloth Cap
5EAC2700	White Bloodwind Plate Gloves
5EB20100	Endnion Plate Armor
5EBB0100	Ohara Leather Armor
5EBF0100	Kennav Cloth Armor
5F020B00	Azurite
5F0E1700	Berkei Barding
5F420F00	Leather Boots of Earth's Honor
5F430F00	Crimson Chaser Chain Cloak
5F440F00	Mercury
5F450F00	Reed Devil Minion's Cloth Helm
5F460F00	Red Needle
5F470F00	Engraved Stone
5F490F00	Small Varnian Banner Pike
5F4A0F00	Dead Pirate King's Treasure Map
5F4B0F00	Broken Watermill
5F4C0F00	The Alchemist's Chamber
5F4D0F00	Oath Ring Shield
5F4E0F00	Hidden Space - 0115
5F4F0F00	Simple Poster
5F500F00	Fusion Reactor Core: XXXIII-VI
5F8C2000	Darren Leather Gloves
5FAC2700	Fluttering Radiance Plate Gloves
5FB20100	Dardnion Plate Armor
5FBB0100	Conally Cloth Armor
5FBF0100	Lancats Cloth Armor
60020B00	Diamond
600E1700	Delesyian Barding
603B0000	Finest Rhinard Cannon
60420F00	Pororin Cloth Cloak
60430F00	Dolphin Glass Art
60440F00	Rubber
60450F00	Reed Devil Minion's Cloth Helm
60460F00	Bounty Notice - Nabila
60470F00	Spider
60480F00	Beet
60490F00	Small Twilight Messengers Banner Pike
604A0F00	Green Algae
604B0F00	Giant Ballista
604C0F00	Hound's Claws
604D0F00	Orbs of Lightning
604E0F00	Hidden Space - 0116
604F0F00	Alchemy Formula: Platinum
60500F00	Fusion Reactor Core: XXXIV-VI
608C2000	Leila Leather Gloves
60AC2700	Light of the Battlefield Plate Gloves
60B20100	Lavgnion Chain Mail
60BC0100	Luverne Leather Armor
60BF0100	Rangtua Cloth Armor
61020B00	Bloodstone
610E1700	Calphadean Barding
61220000	Blizzard Crystal Necklace
61420F00	Herder Leather Gloves
61430F00	Hungering Fang Leather Cloak
61440F00	Bringer of Balance
61450F00	Reed Devil Minion's Cloth Helm
61460F00	Bounty Notice - Brogar
61470F00	Kailok's Cloth Armor
61480F00	Lentils
61490F00	Small Ironflame Orcs Banner Pike
614A0F00	Stag Beetle
614B0F00	Axe-Studded Tree
614C0F00	A Man's Note
614D0F00	Piercing Bloom
614E0F00	Hidden Space - 0117
614F0F00	Alchemy Formula: Gold Bar
61500F00	Fusion Reactor Core: LI-I
618C2000	Rapid Leather Gloves
61B20100	Lucion Chain Mail
61BC0100	Galanta Leather Armor
61BF0100	Nevin Cloth Armor
62020B00	Scolecite Ore
620E1700	Hernandian Barding
623B0000	Alpha Barrel Cannon
62420F00	Meliara's Lesser Elixir
62430F00	Leather Cloak of the Fallen Kingdom
62440F00	Kairos Cloak
62450F00	Official Knight's Plate Helm
62460F00	Bounty Notice - Varka
62470F00	Chill Arrow
62480F00	Parsley
62490F00	Small Marni Banner Pike
624A0F00	Silkworm Moth
624B0F00	Mushroom Cave
624C0F00	Gear Blueprint: Fortune
624D0F00	Grenbar Cloth Barding
624E0F00	Hidden Space - 0118
624F0F00	Satisfying Grilled Vegetables
62500F00	Fusion Reactor Core: LII-I
625B0300	Kadel Mace
628C2000	Dwelle Cloth Cap
62920100	Leontyne Plate Helm
62B20100	Ludeon Plate Armor
62BB0100	Rexlan Cloth Armor
62BC0100	Nelton Leather Armor
62BF0100	Ranphas Cloth Armor
630D0300	Wells Sword
630E1700	Varnian Barding
633E2000	Baorica Leather Armor
63420F00	Spicebush Swallowtail Butterfly
63430F00	Helfryn Leather Cloak
63450F00	Smoke Bomb
63460F00	Bounty Notice - Hakim
63470F00	Blitz Arrow
63480F00	Blue Dragon Scale Decorative Stone
63490F00	Small Flame Knights Banner Pike
634A0F00	Wild Silkworm Moth
634B0F00	Bones of the Bandits' Victims
634C0F00	Sword of the Cursed
634D0F00	Cernos Barding
634E0F00	Hidden Space - 0119
634F0F00	Scales of Fairness and Justice
63500F00	Fusion Reactor Core: LIII-I
63750000	Beacon Key
638C2000	Camantti Leather Boots
63B20100	Cerruan Plate Armor
63BC0100	Brogue Leather Armor
63BF0100	Roctar Cloth Armor
640E1700	Demenissian Barding
64320000	Goblin King's Treasure Dagger
643B0000	Gamma Barrel Cannon
643E2000	Variska Leather Armor
64420F00	Redrin Cloth Cap
